🌏  央   视,#genre#
山东少儿,rtsp://223.99.188.13/PLTV/88888888/224/3221226602/10000100000000060000000003957549_0.smil
山东教育,rtsp://223.99.188.13/PLTV/88888888/224/3221226265/10000100000000060000000002766841_0.smil
日照综合,http://223.99.189.25:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000262/index.m3u8
日照公共,http://223.99.189.25:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001100/index.m3u8
日照科教,http://223.99.189.25:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000263/index.m3u8
莒县综合,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00001014/index.m3u8#http://xxwx.yoesun.com/iqilu.php?id=rzjx1
莒县生活,http://xxwx.yoesun.com/iqilu.php?id=rzjx2#http://A/ku9/js/iqilu.js?id=rzjx2
菏泽综合,rtsp://223.99.188.13/PLTV/88888888/224/3221226131/10000100000000060000000001991125_0.smil
菏泽经济,rtsp://223.99.188.13/PLTV/88888888/224/3221226263/10000100000000060000000002766602_0.smil
菏泽综合,http://live.hznet.tv:1935/live/live1/500K/tzwj_video.m3u8
菏泽经济,http://live.hznet.tv:1935/live/live2/500K/tzwj_video.m3u8
菏泽影视,http://live.hznet.tv:1935/live/live3/500K/tzwj_video.m3u8
成武综合,http://xxwx.yoesun.com/iqilu.php?id=hzcwzh#http://A/ku9/js/iqilu.js?id=hzcwzh
成武综艺,http://xxwx.yoesun.com/iqilu.php?id=hzcwzy#http://A/ku9/js/iqilu.js?id=hzcwzy
临沂综合,rtsp://223.99.188.13/PLTV/88888888/224/3221225836/10000100000000060000000001376776_0.smil
临沂公共,http://39.134.144.6:8089/PLTV/88888888/224/3221225982/index.m3u8
临沂经济,http://39.134.144.6:8089/PLTV/88888888/224/3221225914/index.m3u8
河东综合,rtsp://223.99.188.13/PLTV/88888888/224/3221227436/10000100000000060000000008472616_0.smil

📽  影   视,#genre#
CHC家庭影院,rtsp://223.99.188.13/PLTV/88888888/224/3221227546/10000100000000060000000009240172_0.smil
CHC影迷电影,rtsp://223.99.188.13/PLTV/88888888/224/3221227554/10000100000000060000000009240201_0.smil
CHC动作电影,rtsp://223.99.188.13/PLTV/88888888/224/3221227571/10000100000000060000000009240217_0.smil
都市剧场,rtsp://223.99.188.13/PLTV/88888888/224/3221227494/10000100000000060000000008788019_0.smil
精彩影视,rtsp://223.99.188.13/PLTV/88888888/224/3221227483/10000100000000060000000008787938_0.smil
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
家庭剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
古装剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
军旅剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
精品大剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
中国功夫,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
1905国内经典,http://150.138.77.132:10037/1905电影网.php?id=1905#http://xxwx.yoesun.com/1905dy.php?id=1905

🐯  少   儿,#genre#
动漫秀场,rtsp://223.99.188.13/PLTV/88888888/224/3221227502/10000100000000060000000008788004_0.smil
卡酷少儿,rtsp://223.99.188.13/PLTV/88888888/224/3221227390/10000100000000060000000007746686_0.smil
金鹰卡通,rtsp://223.99.188.13/PLTV/88888888/224/3221227387/10000100000000060000000007633464_0.smil
优漫卡通,http://nctv.top/IDOEPpiryt/jstv5.php?id=ymkt#rtsp://223.99.188.13/PLTV/88888888/224/3221225804/10000100000000060000000001373504_0.smil
嘉佳卡通,rtsp://223.99.188.13/PLTV/88888888/224/3221227379/10000100000000060000000006851171_0.smil
新动漫,rtsp://223.99.188.13/PLTV/88888888/224/3221227474/10000100000000060000000008787876_0.smil
哈哈炫动,rtsp://223.99.188.13/PLTV/88888888/224/3221225805/10000100000000060000000001373513_0.smil
优优宝贝,rtsp://223.99.188.13/PLTV/88888888/224/3221227476/10000100000000060000000008764953_0.smil


🌺  特   色,#genre#
梨园频道,rtsp://223.99.188.13/PLTV/88888888/224/3221227485/10000100000000060000000008787966_0.smil
武术世界,rtsp://223.99.188.13/PLTV/88888888/224/3221227486/10000100000000060000000008787958_0.smil
文物宝库,rtsp://223.99.188.13/PLTV/88888888/224/3221227482/10000100000000060000000008787948_0.smil
生活时尚,rtsp://223.99.188.13/PLTV/88888888/224/3221227492/10000100000000060000000008788025_0.smil
金色学堂,rtsp://223.99.188.13/PLTV/88888888/224/3221227505/10000100000000060000000008788010_0.smil
东方财经,rtsp://223.99.188.13/PLTV/88888888/224/3221227488/10000100000000060000000008787985_0.smil
魅力足球,rtsp://223.99.188.13/PLTV/88888888/224/3221227491/10000100000000060000000008788015_0.smil
法治天地,rtsp://223.99.188.13/PLTV/88888888/224/3221227489/10000100000000060000000008788005_0.smil
中国交通,rtsp://223.99.188.13/PLTV/88888888/224/3221226885/10000100000000060000000004936411_0.smil
纪实科教,rtsp://223.99.188.13/PLTV/88888888/224/3221227551/10000100000000060000000009071772_0.smil
金鹰纪实,rtsp://223.99.188.13/PLTV/88888888/224/3221227383/10000100000000060000000006851163_0.smil
茶,rtsp://223.99.188.13/PLTV/88888888/224/3221227480/10000100000000060000000008787924_0.smil
乐游,rtsp://223.99.188.13/PLTV/88888888/224/3221227508/10000100000000060000000008788012_0.smil
汽摩,rtsp://223.99.188.13/PLTV/88888888/224/3221227531/10000100000000060000000008905512_0.smil

🦚  凤   凰,#genre#
凤凰中文,http://124.95.180.107:80/1.v.smtcdns.net/qitv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://124.95.180.107:80/1.v.smtcdns.net/qitv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://124.95.180.107:80/1.v.smtcdns.net/qitv.fengshows.cn/live/0701phk72.m3u8
凤凰中文,https://gitee.com/k-web/ku9/js/gztzdy/js/raw/d/fhzx.js?id=fhzw
凤凰中文,https://gitee.com/k-web/ku9/js/gztzdy/js/raw/d/fhzx.js?id=fhzx
凤凰香港,https://gitee.com/k-web/ku9/js/gztzdy/js/raw/d/fhzx.js?id=fhhk
